32,2,4,0.5415162454873647
32,5,8,0.5342960288808665
32,12,12,0.5270758122743683
32,3,4,0.5270758122743683
32,4,12,0.5379061371841155
32,6,3,0.5415162454873647
32,1,8,0.5270758122743683
32,9,16,0.5415162454873647
32,1,3,0.5379061371841155
32,3,8,0.5451263537906137
32,3,6,0.5487364620938628
32,5,3,0.5306859205776173
32,4,6,0.51985559566787
32,7,16,0.5342960288808665
32,9,24,0.5306859205776173
32,11,8,0.5342960288808665
32,2,3,0.5379061371841155
32,10,8,0.5270758122743683
32,8,12,0.5306859205776173
32,11,16,0.5415162454873647
32,4,8,0.5379061371841155
32,4,24,0.5379061371841155
32,3,24,0.5306859205776173
32,8,24,0.51985559566787
32,11,6,0.5379061371841155
32,2,12,0.5342960288808665
32,8,16,0.5342960288808665
32,10,16,0.5270758122743683
32,7,6,0.5234657039711191
32,12,4,0.5306859205776173
32,10,3,0.5270758122743683
32,5,12,0.5379061371841155
32,1,12,0.5270758122743683
32,7,4,0.5270758122743683
32,1,6,0.5306859205776173
32,7,12,0.5270758122743683
32,7,24,0.5234657039711191
32,2,6,0.5306859205776173
32,10,12,0.5415162454873647
32,11,3,0.555956678700361
32,9,4,0.5415162454873647
32,9,3,0.555956678700361
32,10,24,0.5415162454873647
32,8,6,0.5270758122743683
32,12,8,0.5234657039711191
32,10,6,0.5234657039711191
32,9,6,0.5379061371841155
32,1,32,0.5342960288808665
32,2,32,0.5342960288808665
32,3,32,0.5342960288808665
32,4,32,0.5342960288808665
32,5,32,0.5342960288808665
32,6,32,0.5342960288808665
32,7,32,0.5342960288808665
32,8,32,0.5342960288808665
32,9,32,0.5342960288808665
32,10,32,0.5342960288808665
32,11,32,0.5342960288808665
32,12,32,0.5342960288808665
32,12,24,0.5451263537906137
32,10,4,0.516245487364621
32,12,16,0.5415162454873647
32,2,24,0.5451263537906137
32,5,16,0.5523465703971119
32,1,24,0.5306859205776173
32,6,8,0.5234657039711191
32,7,3,0.5306859205776173
32,6,16,0.5270758122743683
32,6,12,0.5523465703971119
32,12,6,0.5306859205776173
32,1,4,0.5306859205776173
32,8,4,0.5342960288808665
32,3,12,0.5415162454873647
32,6,24,0.51985559566787
32,11,24,0.5342960288808665
32,11,4,0.5379061371841155
32,2,16,0.5306859205776173
32,8,8,0.5379061371841155
32,5,24,0.5306859205776173
32,3,16,0.5487364620938628
32,6,6,0.5415162454873647
32,12,3,0.51985559566787
32,11,12,0.5342960288808665
32,8,3,0.5451263537906137
32,9,12,0.5415162454873647
32,4,16,0.5415162454873647
32,7,8,0.5523465703971119
32,5,4,0.5234657039711191
32,9,8,0.5451263537906137
32,5,6,0.5451263537906137
32,4,4,0.5415162454873647
32,3,3,0.5270758122743683
32,1,16,0.5415162454873647
32,2,8,0.5487364620938628
32,4,3,0.5342960288808665
32,6,4,0.5270758122743683
